Артикул;Вес;Кросс1;Кросс2;URL;file-download
"US - 205303 K";"1,8 Kg.";"<tbody> </tbody>";"<tbody> <tr> <th> </th> <td> 5010629398 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/48";"US - 205303 K.png"
"US - 205103 K";"1,8 Kg.";"<tbody> <tr> <th> SACHS </th> <td> 131041 </td> </tr> <tr> <th> SACHS </th> <td> 310957 </td> </tr> <tr> <th> CONTITECH </th> <td> SZ3610 </td> </tr> <tr> <th> GOODYEAR </th> <td> 1SAAS013 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 228908K </td> </tr> <tr> <th> FIRESTONE </th> <td> W02M588034 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 5010228908 </td> </tr> <tr> <th> </th> <td> 5010228908A </td> </tr> <tr> <th> </th> <td> 5010228908B </td> </tr> <tr> <th> </th> <td> 5010228908C </td> </tr> <tr> <th> </th> <td> 5010316783A </td> </tr> <tr> <th> </th> <td> 5040269674 </td> </tr> <tr> <th> </th> <td> 5010316783 </td> </tr> <tr> <th> </th> <td> 665228908 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/44";"US - 205103 K.png"
"US - 204703 K";"3,2 Kg.";"<tbody> <tr> <th> SACHS </th> <td> 311884 </td> </tr> <tr> <th> SACHS </th> <td> 731700000277 </td> </tr> <tr> <th> SACHS </th> <td> 737000002845 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 128017K </td> </tr> <tr> <th> FIRESTONE </th> <td> W02M588024 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 504060241 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/41";"US - 204703 K.png"
"US - 204503 K";"3,8 Kg.";"<tbody> <tr> <th> SACHS </th> <td> 115743 </td> </tr> <tr> <th> GOODYEAR </th> <td> 1SAAS019 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 128010K </td> </tr> <tr> <th> FIRESTONE </th> <td> W02M588028 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 41028763 </td> </tr> <tr> <th> </th> <td> 41028764 </td> </tr> <tr> <th> </th> <td> 500377878 </td> </tr> <tr> <th> </th> <td> 500348793 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/39";"US - 204503 K.png"
"US - 204303 KB";"1,5 Kg.";"<tbody> <tr> <th> AIRKRAFT </th> <td> 128015K </td> </tr> <tr> <th> FIRESTONE </th> <td> W02M588027 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 504060233 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/37";"US - 204303 KB.png"
"US - 204403 K";"4 Kg.";"<tbody> <tr> <th> SACHS </th> <td> 115731 </td> </tr> <tr> <th> SACHS </th> <td> 115902 </td> </tr> <tr> <th> GOODYEAR </th> <td> 1SAAS018 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 128011K </td> </tr> <tr> <th> FIRESTONE </th> <td> W02M588029 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 500379698 </td> </tr> <tr> <th> </th> <td> 500307338 </td> </tr> <tr> <th> </th> <td> 5003352808 </td> </tr> <tr> <th> </th> <td> 98472734 </td> </tr> <tr> <th> </th> <td> 99438514 </td> </tr> <tr> <th> </th> <td> 99455937 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/38";"US - 204403 K.png"
"US - 204303 K";"3,5 Kg.";"<tbody> <tr> <th> MERITOR </th> <td> 928323140 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 128015K </td> </tr> <tr> <th> FIRESTONE </th> <td> W02M588027 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 504060233 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/36";"US - 204303 K.png"
"US - 204203 KB";"1,2 Kg.";"<tbody> <tr> <th> AIRKRAFT </th> <td> 128014K </td> </tr> <tr> <th> FIRESTONE </th> <td> W02M588026 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 500340706 </td> </tr> <tr> <th> </th> <td> 500357353 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/35";"US - 204203 KB.png"
"US - 204203 K";"2,9 Kg.";"<tbody> <tr> <th> MERITOR </th> <td> 908322986 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 128014K </td> </tr> <tr> <th> FIRESTONE </th> <td> W02M588026 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 500340706 </td> </tr> <tr> <th> </th> <td> 500357353 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/34";"US - 204203 K.png"
"US - 204201 K";"3,7 Kg.";"<tbody> <tr> <th> MERITOR </th> <td> 908322985 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 128013K </td> </tr> <tr> <th> FIRESTONE </th> <td> W02M588025 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 500340705 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/32";"US - 204201 K.png"
